,rut,periodo,archive,predictor1_7,predictor1_8,predictor1_9,predictor1_10,predictor1_11,predictor1_12,ignite_ise,ind_compra_paga
580,ADpTu1wzMD,201901.0,20190131.0,,,,,,,Z,0.0
581,exUCtC8Bli,201902.0,20190228.0,539.0,,,,,,C3,0.0
582,PMGE6QB2Sn,201910.0,20191031.0,692.0,752.0,752.0,716.0,579.0,579.0,D,0.0
583,jAktzgYmzU,201811.0,20181130.0,,,,,,,D,0.0
584,5YHVpNVzkr,201807.0,20180731.0,,,,,,,D,0.0
585,EwY1Lwb8yU,201911.0,20191130.0,506.0,506.0,371.0,371.0,371.0,506.0,C3,0.0
586,1jUoNDAW2M,201808.0,20180831.0,,,,,,,D,0.0
587,LV6ovAGhP1,201912.0,20191231.0,644.0,639.0,370.0,370.0,370.0,505.0,D,0.0
588,n3nVrhtMTp,201906.0,20190630.0,675.0,782.0,782.0,782.0,782.0,,D,0.0
589,Otw4CExGy1,201902.0,20190228.0,638.0,,,,,,C3,0.0
590,ZPM6cCyhJE,201811.0,20181130.0,,,,,,,C3,0.0
591,DUrYsj6qLq,201810.0,20181031.0,,,,,,,C1b,0.0
592,5USQrUdVpK,201907.0,20190731.0,597.0,681.0,681.0,681.0,681.0,681.0,D,0.0
593,8M35F3Yh1x,202003.0,20200331.0,298.0,227.0,227.0,227.0,298.0,298.0,D,0.0
594,A35riYTg0P,201812.0,20181231.0,,,,,,,D,0.0
595,DQI4S9erfY,201910.0,20191031.0,317.0,386.0,693.0,610.0,679.0,679.0,C2,0.0
596,EswTQOe3XB,201809.0,20180930.0,,,,,,,D,0.0
597,d3qit7nrDN,201912.0,20191231.0,714.0,629.0,540.0,495.0,585.0,671.0,C2,0.0
598,D2Rfb3iHXZ,201808.0,20180831.0,,,,,,,Z,0.0
599,NF0bmmmUo3,201912.0,20191231.0,543.0,543.0,543.0,543.0,543.0,543.0,D,0.0
600,aHJJwc0Lr3,201903.0,20190331.0,455.0,630.0,,,,,C3,0.0
601,NQOcPsXEeg,201809.0,20180930.0,,,,,,,C3,0.0
602,n412cKOa0m,202001.0,20200131.0,844.0,790.0,787.0,754.0,816.0,816.0,C3,0.0
603,B30BPOiKAQ,201810.0,20181031.0,,,,,,,C3,0.0
604,ZeOlanxHaJ,201812.0,20181231.0,,,,,,,C2,0.0
605,23hotZLaAR,201912.0,20191231.0,542.0,496.0,362.0,510.0,556.0,685.0,D,0.0
606,2Ch6oE7wUJ,201906.0,20190630.0,374.0,374.0,463.0,463.0,463.0,,C2,0.0
607,ZOhVAQtMix,201902.0,20190228.0,744.0,,,,,,E,0.0
608,qEIjbb09dh,201905.0,20190531.0,601.0,601.0,601.0,601.0,,,C3,0.0
609,WhHDTCiBYh,202001.0,20200131.0,394.0,394.0,390.0,390.0,540.0,540.0,C1a,0.0
610,PHaauUZvC6,201912.0,20191231.0,826.0,826.0,826.0,721.0,274.0,274.0,C3,0.0
611,5xWCOmV0kJ,201907.0,20190731.0,866.0,866.0,866.0,866.0,866.0,866.0,D,0.0
612,CoNNuxmnIj,202002.0,20200229.0,695.0,695.0,508.0,655.0,655.0,508.0,C3,0.0
613,wNJI4iCpAp,201808.0,20180831.0,,,,,,,E,0.0
614,iRrTUukZjT,201908.0,20190831.0,844.0,844.0,844.0,844.0,844.0,754.0,E,0.0
615,zCR9ZZEGbB,201811.0,20181130.0,,,,,,,D,0.0
616,bFpoWw9W04,201912.0,20191231.0,642.0,642.0,722.0,805.0,775.0,775.0,D,0.0
617,NBKoPPrxLt,202001.0,20200131.0,511.0,511.0,511.0,557.0,557.0,511.0,D,0.0
618,t1FgUVCfYM,201907.0,20190731.0,749.0,749.0,749.0,745.0,745.0,745.0,D,0.0
619,eTnvKucjcf,201807.0,20180731.0,,,,,,,C3,0.0
620,2pffEAbvd4,201912.0,20191231.0,666.0,619.0,619.0,619.0,662.0,662.0,Z,0.0
621,e6bOMEiFpX,202001.0,20200131.0,239.0,239.0,396.0,313.0,410.0,544.0,C3,0.0
622,XEPQuWdq4v,201907.0,20190731.0,802.0,802.0,802.0,802.0,802.0,733.0,C3,0.0
623,OIYXJWzt2T,201810.0,20181031.0,,,,,,,C3,0.0
624,AyJZQ0gCaF,201912.0,20191231.0,731.0,731.0,567.0,231.0,200.0,159.0,E,0.0
625,QxXVLxWyww,201910.0,20191031.0,637.0,632.0,632.0,632.0,632.0,713.0,C3,0.0
626,Zbl29AFzh2,202003.0,20200331.0,644.0,644.0,644.0,644.0,601.0,601.0,Z,0.0
627,qCUuJ3Mot1,201809.0,20180930.0,,,,,,,C3,0.0
628,SOkqGvx4Iw,201812.0,20181231.0,,,,,,,C3,0.0
629,hizWHtkc7r,201912.0,20191231.0,592.0,455.0,501.0,547.0,672.0,542.0,C2,0.0
630,14ctLmQ22L,201908.0,20190831.0,753.0,753.0,749.0,713.0,674.0,633.0,D,0.0
631,GelMOUEu5A,201812.0,20181231.0,,,,,,,E,0.0
632,7LHL0sX1lx,201904.0,20190430.0,861.0,861.0,861.0,,,,C3,0.0
633,5kmKdyY1N7,201902.0,20190228.0,739.0,,,,,,D,0.0
634,m5oc53YQ3s,201810.0,20181031.0,,,,,,,C3,0.0
635,8mFww7BXlj,201807.0,20180731.0,,,,,,,C3,0.0
636,pBGoWF3o3O,201903.0,20190331.0,748.0,748.0,,,,,C3,0.0
637,IvIYFsj60u,201909.0,20190930.0,703.0,774.0,774.0,774.0,774.0,774.0,D,0.0
638,gosZsSx2KO,201912.0,20191231.0,598.0,598.0,598.0,732.0,732.0,732.0,C1b,0.0
639,Hny574Ws1I,201902.0,20190228.0,316.0,,,,,,D,0.0
640,dPYHAiXFpU,202003.0,20200331.0,684.0,684.0,680.0,680.0,680.0,680.0,C2,0.0
641,TqC5Vuzr20,201908.0,20190831.0,746.0,746.0,746.0,746.0,629.0,629.0,D,0.0
642,iOdXIg4pPx,201811.0,20181130.0,,,,,,,C2,0.0
643,XhclR9VAdA,201911.0,20191130.0,738.0,618.0,614.0,614.0,614.0,734.0,C2,0.0
644,GI4ZcADXTq,201808.0,20180831.0,,,,,,,E,0.0
645,Z9gmIY0cis,201812.0,20181231.0,,,,,,,C2,0.0
646,JKnGVmbcYi,201908.0,20190831.0,768.0,768.0,768.0,768.0,768.0,768.0,D,0.0
647,M8kATATXpo,201809.0,20180930.0,,,,,,,C3,0.0
648,oTPWllmem6,201907.0,20190731.0,795.0,823.0,821.0,821.0,793.0,793.0,AB,0.0
649,VVXVq7zkgr,201906.0,20190630.0,294.0,511.0,685.0,685.0,685.0,,E,0.0
650,Pp1NSeIA2P,201912.0,20191231.0,601.0,510.0,505.0,551.0,639.0,639.0,C3,0.0
651,w9JQGfBAca,201904.0,20190430.0,613.0,608.0,691.0,,,,D,0.0
652,MgrKfm0h7N,201810.0,20181031.0,,,,,,,D,0.0
653,jo5noqS80F,201807.0,20180731.0,,,,,,,E,0.0
654,3aekIRcXrQ,201912.0,20191231.0,761.0,684.0,374.0,374.0,256.0,555.0,C2,0.0
655,vCTTFIgu08,201903.0,20190331.0,629.0,810.0,,,,,C2,0.0
656,r170nUFWUX,201912.0,20191231.0,740.0,607.0,598.0,607.0,508.0,508.0,C3,0.0
657,VXKD8EYkxh,201911.0,20191130.0,227.0,605.0,424.0,338.0,380.0,561.0,E,0.0
658,cWGl9iuHpl,201902.0,20190228.0,349.0,,,,,,C2,0.0
659,qd0WTXAUOB,201812.0,20181231.0,,,,,,,C3,0.0
660,BeqXoUEvqF,201912.0,20191231.0,489.0,575.0,575.0,484.0,272.0,272.0,E,0.0
661,hQGVpKBvgB,201812.0,20181231.0,,,,,,,E,0.0
662,KjpyUsVb2n,201807.0,20180731.0,,,,,,,C3,0.0
663,a9LjtuVyL0,201812.0,20181231.0,,,,,,,D,0.0
664,Hn2kqqOleh,201901.0,20190131.0,,,,,,,C3,0.0
665,4QbijNeySq,201808.0,20180831.0,,,,,,,C3,0.0
666,wT5kTxGxeF,201811.0,20181130.0,,,,,,,C2,0.0
667,LDzXYP1qC5,201810.0,20181031.0,,,,,,,E,0.0
668,YiUWhzSj9N,201807.0,20180731.0,,,,,,,D,0.0
669,wDHAUrqRxi,201807.0,20180731.0,,,,,,,C3,0.0
670,9aH8UTYAhL,201908.0,20190831.0,676.0,591.0,591.0,676.0,750.0,750.0,D,0.0
671,H3Cs2xyORN,202001.0,20200131.0,649.0,649.0,649.0,649.0,772.0,772.0,D,0.0
672,YW3znfSRUw,201907.0,20190731.0,499.0,499.0,633.0,714.0,714.0,710.0,D,0.0
673,0LDzDJA2IF,201905.0,20190531.0,718.0,595.0,638.0,633.0,,,D,0.0
674,vgbXtGoTH0,201912.0,20191231.0,496.0,275.0,354.0,446.0,482.0,482.0,C3,0.0
675,rHbHkjhcEV,201811.0,20181130.0,,,,,,,C2,0.0
676,ZLAg0PSXwR,202002.0,20200229.0,666.0,666.0,666.0,666.0,666.0,661.0,C3,0.0
677,nIt7aVXkmF,201906.0,20190630.0,758.0,758.0,758.0,790.0,790.0,,D,0.0
678,JIKGzXhnB4,201912.0,20191231.0,694.0,611.0,654.0,567.0,654.0,654.0,D,0.0
679,uFjUrmKad8,201912.0,20191231.0,405.0,405.0,496.0,405.0,405.0,405.0,C2,0.0
680,rHh8avH0XT,201901.0,20190131.0,,,,,,,E,0.0
681,Cr1xHmh5In,201809.0,20180930.0,,,,,,,D,0.0
682,e7v5aaVd0Q,201908.0,20190831.0,716.0,716.0,716.0,716.0,716.0,716.0,D,0.0
683,6TmxW8uc39,201908.0,20190831.0,650.0,650.0,650.0,563.0,563.0,471.0,D,0.0
684,gCEYipEFWf,201912.0,20191231.0,655.0,655.0,655.0,767.0,767.0,732.0,D,0.0
685,U8IlVfv1i0,201909.0,20190930.0,597.0,460.0,460.0,552.0,635.0,635.0,D,0.0
686,Dgbwmu2jWc,201910.0,20191031.0,199.0,171.0,466.0,466.0,602.0,602.0,D,0.0
687,Gdpyu3XM0d,202002.0,20200229.0,234.0,234.0,234.0,234.0,234.0,234.0,E,0.0
688,15VVZdYNjr,201811.0,20181130.0,,,,,,,C3,0.0
689,Lg5WE23N8V,201807.0,20180731.0,,,,,,,C3,0.0
690,8fQRpqjgnk,201909.0,20190930.0,249.0,588.0,492.0,343.0,266.0,231.0,D,0.0
691,gZrKFvsPxv,201909.0,20190930.0,450.0,450.0,405.0,405.0,405.0,362.0,D,0.0
692,G8j3W6DiOA,201912.0,20191231.0,644.0,557.0,557.0,557.0,644.0,644.0,C3,0.0
693,3vADHOMyoB,202003.0,20200331.0,511.0,465.0,465.0,644.0,644.0,601.0,D,0.0
694,1yZJlekInH,201903.0,20190331.0,685.0,640.0,,,,,E,0.0
695,Qsso1Hjr55,201908.0,20190831.0,585.0,581.0,535.0,535.0,444.0,490.0,C2,0.0
696,LO15SxjKPf,201810.0,20181031.0,,,,,,,C1b,0.0
697,yBTmYzKiKS,201905.0,20190531.0,635.0,635.0,635.0,716.0,,,D,0.0
698,deX0MetmFc,201808.0,20180831.0,,,,,,,C3,0.0
699,5IOIkP4JTo,202002.0,20200229.0,625.0,625.0,625.0,625.0,625.0,638.0,D,0.0
700,e89IetfdY8,202003.0,20200331.0,644.0,644.0,644.0,478.0,432.0,432.0,Z,0.0
701,gVe25UpccU,201905.0,20190531.0,753.0,753.0,753.0,749.0,,,D,0.0
702,7SWFsWpTn5,201912.0,20191231.0,360.0,359.0,359.0,280.0,401.0,401.0,C2,0.0
703,pdva3H6dEW,201910.0,20191031.0,683.0,757.0,757.0,757.0,757.0,757.0,C3,0.0
